Tank,FishID,FishUn
1,1,1
1,2,2
1,3,3
2,1,4
2,2,5
2,3,6
2,4,7
2,5,8
3,1,9
3,2,10
3,3,11
3,4,12
3,5,13
3,6,14
3,7,15
4,1,16
4,2,17
4,3,18
5,1,19
5,2,20
5,3,21
5,4,22
5,5,23
6,1,24
6,2,25
6,3,26
6,4,27
6,5,28
6,6,29
6,7,30
7,1,31
8,1,32
8,2,33
8,3,34
9,1,35
9,2,36
9,3,37
9,4,38
9,5,39
9,6,40
9,7,41
10,1,42
11,1,43
12,1,44
12,2,45
12,3,46
12,4,47
12,5,48
13,1,49
13,2,50
13,3,51
13,4,52
13,5,53
14,1,54
14,2,55
14,3,56
14,4,57
14,5,58
14,6,59
14,7,60
15,1,61
16,1,62
16,2,63
16,3,64
17,1,65
17,2,66
17,3,67
17,4,68
17,5,69
18,1,70
19,1,71
19,2,72
19,3,73
19,4,74
19,5,75
19,6,76
19,7,77
20,1,78
20,2,79
20,3,80
20,4,81
20,5,82
21,1,83
21,2,84
21,3,85
22,1,86
23,1,87
23,2,88
23,3,89
24,1,90
24,2,91
24,3,92
24,4,93
24,5,94
24,6,95
24,7,96
